ast_ID,vals,ra,dec
09C,8,"20.626116, 20.824709, 20.824709, 20.565297, 20.824709, 21.405786, 21.405786, 21.335968, 21.405786, 21.354611, 21.405786, 21.804363, 21.556534, 21.804363, 21.804363, 21.755198","-47.291502, -46.226826, -46.226826, -44.516048, -46.226826, -46.614706, -46.614706, -45.021893, -46.614706, -49.938248, -46.614706, -47.303615, -44.8487, -47.303615, -47.303615, -49.498761"
09D,2,"19.921887, 19.846388, 19.846388, 19.770994","6.406763, 8.868322000000003, 8.868322000000003, 10.613261"
09E,2,"18.738984, 18.61564, 18.61564, 18.746209","39.670123, 38.783692, 38.783692, 37.60511500000001"
09F,8,"20.058338, 19.962624, 19.962624, 19.789795, 19.789795, 19.979285, 19.979285, 20.08597, 20.08597, 20.165735, 20.165735, 20.339279, 20.339279, 20.237949, 20.237949, 20.333386","16.031254999999998, 16.789163000000002, 16.789163000000002, 18.534286, 18.534286, 19.492148, 19.492148, 19.991071, 19.991071, 20.915028, 20.915028, 17.792928, 17.792928, 15.197609, 15.197609, 13.548091"
09G,8,"19.653234, 19.761096, 19.761096, 19.568153, 19.568153, 19.275287, 19.275287, 19.424972, 19.424972, 19.612022, 19.612022, 19.511066, 19.511066, 19.342473, 19.342473, 19.614847","5.397773, 7.613158, 7.613158, 7.378941, 7.378941, 4.834795, 4.834795, 3.114775, 3.114775, -1.286601, -1.286601, -2.788887, -2.788887, -5.4157660000000005, -5.4157660000000005, -7.027477"
09H,3,"20.328685, 20.188413, 20.188413, 20.073098, 20.073098, 19.874547","-1.078514, -0.8214610000000001, -0.8214610000000001, -0.709309, -0.709309, 1.005661"
09I,2,"20.654533, 20.6757, 20.6757, 20.667485","-14.95476, -16.12418, -16.12418, -18.138659"
09J,3,"18.908412, 18.834665, 18.834665, 18.982395, 18.982395, 19.121703","36.898613, 33.362667, 33.362667, 32.689557, 32.689557, 36.100157"
09K,4,"18.922249, 19.229302, 19.229302, 19.272804, 19.272804, 19.435868, 19.435868, 19.529534","43.946088, 39.145968, 39.145968, 38.133731, 38.133731, 36.31789600000001, 36.31789600000001, 34.452968"
10A,3,"20.794598, 20.877565, 20.877565, 20.869082, 20.869082, 20.795621","-9.495776, -8.983317999999997, -8.983317999999997, -5.507059, -5.507059, -5.027701"
10B,3,"20.61212, 20.638967, 20.638967, 20.494167, 20.494167, 20.473585","-2.549957, -1.105121, -1.105121, -2.8855310000000003, -2.8855310000000003, -3.357794"
10C,5,"20.565845, 20.645552, 20.645552, 20.630311, 20.630311, 20.553547, 20.553547, 20.565845, 20.565845, 20.588482","13.027255, 13.315125, 13.315125, 11.377676, 11.377676, 11.303263, 11.303263, 13.027255, 13.027255, 14.674213"
10D,5,"20.77764, 20.660635, 20.660635, 20.625816, 20.625816, 20.687836, 20.687836, 20.724315, 20.724315, 20.77764","16.124295999999998, 15.912072, 15.912072, 14.595087, 14.595087, 14.58288, 14.58288, 15.074581, 15.074581, 16.124295999999998"
10E,9,"21.215607, 21.298632, 21.298632, 21.246517, 21.246517, 20.952893, 20.952893, 20.690532, 20.690532, 20.22168, 20.22168, 19.749574, 19.749574, 20.370473, 20.370473, 20.770178, 20.770178, 21.215607","30.226916, 34.896898, 34.896898, 38.045317, 38.045317, 41.167136, 41.167136, 45.280338, 45.280338, 46.815675, 46.815675, 45.13081, 45.13081, 40.256679, 40.256679, 33.970256, 33.970256, 30.226916"
10F,3,"19.28504, 19.495098, 19.495098, 19.644769, 19.644769, 19.843813","53.368459, 51.729779, 51.729779, 54.97379300000001, 54.97379300000001, 52.988001"
10G,6,"18.859712, 18.710543, 18.710543, 18.542923, 18.542923, 18.398507, 18.398507, 18.244724, 18.244724, 18.175443, 18.175443, 18.114854","52.975117, 55.53945699999999, 55.53945699999999, 57.045599, 57.045599, 58.800736, 58.800736, 56.588238, 56.588238, 54.286552, 54.286552, 50.822823"
10H,1,"20.863692, 20.76826","-26.919133, -25.270898000000006"
10I,1,"20.672174, 20.672174","-33.431843, -33.431843"
10J,1,"20.913283, 20.769441","-17.922894, -21.514032"
10K,1,"20.8328, 20.8328","-33.779722, -33.779722"
10L,1,"21.021517000000006, 21.021517000000006","-32.257767, -32.257767"
10M,1,"21.029244, 21.029244","-26.880993, -26.880993"
10N,1,"21.099118, 21.073417000000006","-17.232861, -19.854991"
10O,1,"21.106855, 21.106855","-32.341618, -32.341618"
10P,1,"21.118797, 21.118797","-25.005853, -25.005853"
10Q,1,"21.260528, 21.370776","-20.651696, -16.834542000000006"
10R,1,"21.298966, 21.298966","-32.172539, -32.172539"
10S,1,"21.221479, 21.221479","-27.619333, -27.619333"
11A,1,"21.525982, 21.263731","-5.571172, 5.247845"
11B,1,"21.787212, 21.65924","2.686124, 2.243558"
11C,1,"21.704292, 21.642205","5.680137, 5.771742"
11D,1,"21.241337, 21.172361","10.006981, 10.131579"
11E,1,"21.74186, 21.835749","17.350017, 17.285851"
11F,1,"21.478721, 21.444452","-21.80718, -22.411332"
11G,1,"22.336643, 22.280565","-7.8211020000000016, -7.783289999999999"
11H,13,"21.898808, 21.939659, 21.939659, 22.016415, 22.016415, 22.140537, 22.140537, 22.139722, 22.139722, 22.169093, 22.169093, 22.073288, 22.073288, 22.013951, 22.013951, 21.652812, 21.652812, 21.581389, 21.581389, 21.613553, 21.613553, 21.651697, 21.651697, 21.674252, 21.674252, 21.898808","-37.364852, -37.253655, -37.253655, -36.556316, -36.556316, -34.043841, -34.043841, -32.988468, -32.988468, -32.548407, -32.548407, -29.91653, -29.91653, -28.453736, -28.453736, -27.306572, -27.306572, -29.696117, -29.696117, -33.047896, -33.047896, -33.678856, -33.678856, -34.534824, -34.534824, -37.364852"
11I,3,"22.274045, 22.137209, 22.137209, 22.711115, 22.711115, 22.724993","-41.627225, -46.960975, -46.960975, -46.884577, -46.884577, -41.414347"
