ast_ID,vals,ra,dec
84,3,"20.76826, 20.863692, 20.863692, 21.444452, 21.444452, 21.402665","-25.270898000000006, -26.919133, -26.919133, -22.411332, -22.411332, -20.851869"
85,17,"23.500536, 23.221098, 23.221098, 23.001417, 23.001417, 23.110226, 23.110226, 23.500536, 23.500536, 23.784284, 23.784284, 23.906398, 23.906398, 23.983482, 23.983482, 23.278405, 23.278405, 23.069702, 23.069702, 23.20916, 23.20916, 23.295732, 23.295732, 23.626056, 23.626056, 23.673469, 23.673469, 23.63561, 23.63561, 23.032017, 22.940555, 23.069702, 23.069702, 22.95125","58.54892, 57.16835500000001, 57.16835500000001, 56.945374, 56.945374, 59.41976, 59.41976, 58.54892, 58.54892, 58.651989, 58.651989, 57.499382, 57.499382, 55.754928, 55.754928, 53.213476, 53.213476, 50.052091, 50.052091, 49.406207, 49.406207, 49.0153, 49.0153, 46.458152, 46.458152, 44.333932, 44.333932, 43.268073, 43.268073, 42.325979, 49.733544, 50.052091, 50.052091, 48.684068"
86,7,"23.062901, 23.079348, 23.062901, 22.716704, 22.716704, 22.695947, 23.062901, 22.833385, 22.833385, 22.775521, 23.062901, 23.343956, 23.343956, 23.422993","28.082789, 15.205264, 28.082789, 30.221245, 30.221245, 29.307641, 28.082789, 24.601579, 24.601579, 23.565654, 28.082789, 23.740337, 23.740337, 23.404101"
87,1,"23.343956, 23.343956","23.740337, 23.740337"
88,1,"22.778216, 22.691033","12.172888, 10.831364"
89,4,"23.167072, 23.116739000000006, 23.116739000000006, 23.195608, 23.116739000000006, 22.920464000000006, 22.920464000000006, 22.873353","9.822082, 9.409492, 9.409492, 8.720116, 9.409492, 8.816166, 8.816166, 9.835664"
90,7,"22.87691, 22.510782, 22.510782, 22.107286, 22.107286, 21.784011, 21.784011, 21.668181, 21.668181, 21.618008, 21.618008, 21.710973000000006, 21.710973000000006, 21.784011","-7.579599000000001, -10.67795, -10.67795, -13.869679, -13.869679, -16.127285999999998, -16.127285999999998, -16.662308, -16.662308, -19.466011, -19.466011, -18.866323, -18.866323, -16.127285999999998"
91,39,"0.24400500000000006, 0.202773, 0.202773, 0.06233, 0.06233, 0.187739, 0.187739, 0.075033, 0.075033, 23.842579, 23.842579, 23.712039, 23.712039, 23.707729, 23.707729, 23.696057, 23.696057, 23.766922, 23.766922, 23.855927, 0.075033, 0.241008, 0.241008, 0.088928, 0.088928, 0.030402, 0.136693, 0.030402, 0.030402, 23.977883, 0.171908, 0.088928, 0.088928, 0.032672, 23.712039, 23.627655, 23.627655, 23.685809, 23.685809, 23.787754, 23.787754, 23.837425, 23.627655, 23.316021, 23.316021, 23.298393, 23.298393, 23.264859, 23.264859, 23.280817000000006, 23.280817000000006, 23.238711, 23.238711, 23.086052, 23.316021, 23.377547, 23.377547, 23.382842, 23.382842, 23.434108, 23.434108, 23.554618, 23.318518, 22.826528, 22.826528, 22.726454, 22.726454, 22.792535, 22.792535, 23.157443, 23.157443, 23.165249, 23.165249, 23.111345, 23.323327, 23.238711","-18.932866, -17.938278, -17.938278, -17.335988, -17.335988, -15.467977, -15.467977, -10.509523, -10.509523, -14.40149, -14.40149, -14.544904999999998, -14.544904999999998, -15.448033, -15.448033, -17.816533, -17.816533, -18.67834, -18.67834, -18.909163, -10.509523, -7.780532000000001, -7.780532000000001, -5.707618, -5.707618, -3.027504, -2.447711, -3.027504, -3.027504, -3.5559830000000003, -5.248588, -5.707618, -5.707618, -6.0140720000000005, -14.544904999999998, -13.060243, -13.060243, -11.680655, -11.680655, -11.911126, -11.911126, -9.974136, -13.060243, -9.61075, -9.61075, -9.182513, -9.182513, -9.087737, -9.087737, -7.7265039999999985, -7.7265039999999985, -6.049003, -6.049003, -7.693801, -9.61075, -15.039338, -15.039338, -20.10058, -20.10058, -20.642014, -20.642014, -20.914504, -13.458552, -13.592632, -13.592632, -18.830375, -18.830375, -19.613375, -19.613375, -21.17241, -21.17241, -22.457611, -22.457611, -23.743115, -5.124352, -6.049003"
92,1,"22.960838, 22.960838","-29.622236, -29.622236"
93,1,"22.677594, 22.677594","-27.043617, -27.043617"
