ast_ID,vals,ra,dec
50,26,"22.280565, 22.107286, 23.382842, 23.264859, 23.264859, 22.87691, 22.87691, 22.280565, 22.280565, 22.096399, 22.096399, 21.525982, 21.525982, 22.107286, 22.107286, 22.826528, 22.826528, 22.910837, 22.910837, 23.157443, 22.096399, 21.736433, 21.736433, 21.525982, 22.096399, 22.360938, 22.360938, 23.286094, 23.286094, 23.665844, 22.480531, 22.589272, 22.589272, 23.238711, 23.238711, 23.298393, 23.298393, 23.712039, 23.712039, 23.696057, 22.480531, 22.421284, 22.421284, 23.977883, 23.977883, 0.032672, 0.032672, 0.075033, 0.075033, 0.187739, 0.187739, 0.24400500000000006","-7.783289999999999, -13.869679, -20.10058, -9.087737, -9.087737, -7.579599000000001, -7.579599000000001, -7.783289999999999, -7.783289999999999, -0.319851, -0.319851, -5.571172, -5.571172, -13.869679, -13.869679, -13.592632, -13.592632, -15.82082, -15.82082, -21.17241, -0.319851, 9.875011, 9.875011, -5.571172, -0.319851, -1.387331, -1.387331, 3.282289, 3.282289, 5.6262919999999985, -0.019972, -0.117498, -0.117498, -6.049003, -6.049003, -9.182513, -9.182513, -14.544904999999998, -14.544904999999998, -17.816533, -0.019972, 1.377401, 1.377401, -3.5559830000000003, -3.5559830000000003, -6.0140720000000005, -6.0140720000000005, -10.509523, -10.509523, -15.467977, -15.467977, -18.932866"
51,1,"6.399195, 6.399195","-52.69566, -52.69566"
52,4,"0.72649, 0.323799, 0.323799, 1.734479, 1.734479, 2.000084, 2.000084, 0.72649","-17.986604999999994, -8.823921, -8.823921, -15.93748, -15.93748, -21.077831, -21.077831, -17.986604999999994"
53,9,"3.039863, 3.325278, 3.325278, 3.563132, 3.563132, 3.780804, 3.780804, 4.592512, 4.592512, 4.400613, 4.400613, 4.298237, 4.298237, 3.201249, 3.201249, 3.039863, 3.039863, 2.7517150000000004","-23.624472, -21.757864, -21.757864, -21.632883, -21.632883, -23.249723, -23.249723, -30.562341, -30.562341, -34.016846, -34.016846, -33.798348, -33.798348, -28.987618, -28.987618, -23.624472, -23.624472, -18.572563"
54,6,"8.158876, 9.133268, 9.133268, 10.779488, 10.779488, 10.715949, 10.715949, 9.220041, 9.220041, 8.375236, 8.375236, 8.158876","-47.336588, -43.432589, -43.432589, -49.420255, -49.420255, -64.39445, -64.39445, -69.717208, -69.717208, -59.509483, -59.509483, -47.336588"
55,1,"14.063729, 14.660765","-60.373039, -60.833976"
56,17,"13.343296, 12.890607, 14.591786, 14.111395000000002, 14.660765, 14.063729, 14.063729, 13.664796, 13.664796, 13.925667, 13.925667, 14.111395000000002, 14.111395000000002, 13.78232, 13.78232, 13.343296, 13.343296, 13.397969, 13.397969, 12.691971, 12.691971, 12.519429, 12.519429, 12.443311, 13.925667, 13.397969, 13.78232, 13.824091, 13.824091, 13.863779, 13.863779, 13.761470999999998, 13.761470999999998, 13.824091","-36.71229500000001, -40.178872, -42.157824, -36.369954, -60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -36.369954, -36.369954, -36.251933, -36.251933, -36.71229500000001, -36.71229500000001, -47.890541, -47.890541, -48.959888, -48.959888, -57.113212, -57.113212, -63.09909200000001, -47.288375, -47.890541, -36.251933, -34.450776, -34.450776, -32.994089, -32.994089, -33.043721000000005, -33.043721000000005, -34.450776"
57,13,"16.109873999999998, 15.849316, 15.849316, 16.002036, 15.849316, 15.662772, 15.662772, 15.585681, 15.585681, 15.198918, 15.198918, 14.698823, 14.698823, 14.975537, 14.975537, 15.356201, 15.356201, 15.36344, 15.36344, 15.662772, 14.631454000000002, 14.698823, 15.198918, 15.20476, 15.585681, 15.991743","-36.802288, -33.627165000000005, -33.627165000000005, -38.396706, -33.627165000000005, -34.411926, -34.411926, -41.166757, -41.166757, -48.737819, -48.737819, -47.3882, -47.3882, -43.13396, -43.13396, -40.647518, -40.647518, -36.261376, -36.261376, -34.411926, -49.425828, -47.3882, -48.737819, -52.099247, -41.166757, -41.744436"
58,22,"17.512732, 17.560145000000002, 17.560145000000002, 17.830965, 17.830965, 17.793078, 17.793078, 17.621979999999994, 17.621979999999994, 17.202551999999994, 17.202551999999994, 16.909731, 16.909731, 16.872263, 16.872263, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.353143, 16.353143, 16.09062, 16.09062, 15.592104999999998, 15.592104999999998, 15.569638, 15.569638, 16.199926, 16.199926, 16.353143, 16.353143, 15.64427, 15.64427, 15.067839, 15.067839, 15.980865, 15.980865, 16.353143, 16.353143, 16.005557","-37.295811, -37.103821, -37.103821, -37.043304, -37.043304, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.361313, -42.361313, -38.017536, -38.017536, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -19.805453, -19.805453, -14.789537, -14.789537, -10.064529, -10.064529, -19.460708, -19.460708, -25.592796, -25.592796, -29.777754, -29.777754, -25.281965, -25.281965, -26.114105, -26.114105, -25.592796, -25.592796, -22.62171"
59,1,"16.490128, 16.490128","-26.432002, -26.432002"
60,1,"17.512732, 17.560145000000002","-37.295811, -37.103821"
61,25,"19.921026, 19.497829, 18.402868, 18.3499, 18.3499, 18.466179, 19.043532, 18.3499, 18.3499, 18.096803, 18.92109, 18.962167, 18.962167, 19.07805, 19.07805, 19.162731, 19.162731, 19.11567, 19.259007, 19.421247, 19.421247, 19.611786, 19.611786, 19.995605, 19.995605, 20.059291, 19.611786, 19.930651, 19.930651, 20.044299, 18.11052, 18.187157, 18.187157, 18.293793, 18.480505, 18.449561, 18.449561, 18.738711, 18.738711, 18.293793, 18.293793, 18.229392, 18.229392, 18.76094, 18.76094, 19.259007, 18.738711, 19.497829, 19.497829, 19.611786","-41.868288, -26.985615000000006, -34.384615999999994, -29.828103, -29.828103, -25.4217, -29.880105, -29.828103, -29.828103, -30.424091, -26.296721999999995, -21.106654, -21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -27.670423, -25.256682, -24.508575, -24.508575, -24.883623, -24.883623, -35.276305, -35.276305, -37.940699, -24.883623, -26.299506, -26.299506, -27.709845, -50.09147700000001, -45.954418, -45.954418, -36.761686, -49.070588, -45.968459, -45.968459, -35.641987, -35.641987, -36.761686, -36.761686, -21.058834, -21.058834, -26.990778, -26.990778, -25.256682, -35.641987, -26.985615000000006, -26.985615000000006, -24.883623"
63,13,"21.784011, 21.888268, 21.888268, 21.692462, 21.692462, 21.784011, 21.784011, 21.444452, 21.444452, 21.099118, 21.099118, 21.784011, 21.099118, 20.481004, 20.481004, 20.76826, 20.76826, 21.118797, 20.863692, 20.863692, 20.863692, 21.444452, 20.481004, 20.350187, 20.350187, 20.300904","-16.127285999999998, -13.551768, -13.551768, -14.047610999999998, -14.047610999999998, -16.127285999999998, -16.127285999999998, -22.411332, -22.411332, -17.232861, -17.232861, -16.127285999999998, -17.232861, -17.813686999999994, -17.813686999999994, -25.270898000000006, -25.270898000000006, -25.005853, -26.919133, -26.919133, -26.919133, -22.411332, -17.813686999999994, -14.781367, -14.781367, -12.544852"
