ast_ID,vals,ra,dec
35,13,"0.220598, 23.079348, 23.062901, 22.716704, 22.716704, 22.153789, 23.062901, 22.833385, 22.833385, 22.775521, 22.775521, 22.116847, 22.116847, 21.744092, 23.079348, 22.778216, 22.778216, 22.691033, 22.691033, 22.169996, 22.169996, 21.736433, 0.139791, 23.062901, 0.139791, 0.220598","15.183596, 15.205264, 28.082789, 30.221245, 30.221245, 33.172337, 28.082789, 24.601579, 24.601579, 23.565654, 23.565654, 25.345112, 25.345112, 25.645036, 15.205264, 12.172888, 12.172888, 10.831364, 10.831364, 6.197865, 6.197865, 9.875011, 29.090432, 28.082789, 29.090432, 15.183596"
36,10,"3.738648, 3.9022, 3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.715416, 3.715416, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945, 3.405378, 3.136148, 3.136148, 3.0862700000000003, 3.0862700000000003, 2.843063","32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496, 49.86118, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644"
37,19,"1.046971, 1.229152, 1.046971, 1.324443, 1.324443, 1.229152, 1.229152, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.892597, 1.892597, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.049058, 1.049058, 0.804836, 0.804836, 0.343295, 0.343295, 23.988525, 23.988525, 23.665844, 23.665844, 23.700779, 23.700779, 23.448876, 23.448876, 23.286094, 23.286094, 23.466138, 23.466138, 23.665844","31.804263, 24.583713, 31.804263, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 3.187536, 3.187536, 5.487613, 5.487613, 6.14382, 6.14382, 7.890135000000001, 7.890135000000001, 7.299927999999999, 7.299927999999999, 8.190271000000001, 8.190271000000001, 6.863321000000001, 6.863321000000001, 5.6262919999999985, 5.6262919999999985, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 6.378992, 6.378992, 5.6262919999999985"
38,8,"22.960838, 22.677594, 22.677594, 22.013951, 22.013951, 21.795598, 21.795598, 21.749113, 21.749113, 21.898808, 22.169093, 21.898808, 22.169093, 22.52509, 22.52509, 22.932472","-29.622236, -27.043617, -27.043617, -28.453736, -28.453736, -30.898304, -30.898304, -33.025781, -33.025781, -37.364852, -32.548407, -37.364852, -32.548407, -32.346073, -32.346073, -32.539628"
39,4,"19.68415, 19.789795, 19.789795, 19.668275, 19.789795, 19.979285, 19.979285, 20.08597","17.476041, 18.534286, 18.534286, 18.01389, 18.534286, 19.492148, 19.492148, 19.991071"
40,27,"18.3499, 18.466179, 18.402868, 18.096803, 18.096803, 18.3499, 18.3499, 18.402868, 19.043532, 18.76094, 18.76094, 18.3499, 18.76094, 18.466179, 18.466179, 18.229392, 19.043532, 19.11567, 19.11567, 18.92109, 18.92109, 18.76094, 18.92109, 18.962167, 18.962167, 19.07805, 19.07805, 19.293911, 19.293911, 19.361211, 19.043532, 19.073627, 19.073627, 19.611786, 19.611786, 20.044299, 20.044299, 20.072108, 20.072108, 19.995605, 19.995605, 20.059291, 20.059291, 19.921026, 19.995605, 19.398103, 19.398103, 19.377303, 18.466179, 18.096803, 18.293793, 18.738711, 18.738711, 19.043532","-29.828103, -25.4217, -34.384615999999994, -30.424091, -30.424091, -29.828103, -29.828103, -34.384615999999994, -29.880105, -26.990778, -26.990778, -29.828103, -26.990778, -25.4217, -25.4217, -21.058834, -29.880105, -27.670423, -27.670423, -26.296721999999995, -26.296721999999995, -26.990778, -26.296721999999995, -21.106654, -21.106654, -21.741496, -21.741496, -18.952908, -18.952908, -17.847197, -29.880105, -31.047079, -31.047079, -24.883623, -24.883623, -27.709845, -27.709845, -32.056296, -32.056296, -35.276305, -35.276305, -37.940699, -37.940699, -41.868288, -35.276305, -40.61594, -40.61594, -44.458965, -25.4217, -30.424091, -36.761686, -35.641987, -35.641987, -29.880105"
41,12,"17.560145000000002, 17.708132, 17.708132, 17.793078, 17.793078, 17.621979999999994, 17.621979999999994, 17.202551999999994, 17.202551999999994, 16.899924, 16.899924, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.005557, 16.490128, 15.980865, 16.490128, 16.09062","-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -22.62171, -26.432002, -26.114105, -26.432002, -19.805453"
42,12,"5.438198000000001, 4.704084, 4.704084, 4.476943, 4.598677, 5.627413, 4.329889, 4.382247, 4.329889, 4.0113379999999985, 4.0113379999999985, 3.413554, 4.598677, 4.476943, 4.598677, 4.477705, 4.477705, 4.329889, 4.476943, 4.424828, 4.424828, 4.382247, 4.382247, 3.819373","28.60745, 22.956926, 22.956926, 19.180431, 16.509301, 21.142549, 15.627642000000002, 17.542514, 15.627642000000002, 12.490347, 12.490347, 9.02887, 16.509301, 19.180431, 16.509301, 15.870883, 15.870883, 15.627642000000002, 19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 24.053415"
43,3,"2.265635, 2.1590580000000004, 2.1590580000000004, 1.884696, 1.884696, 2.265635","33.358895000000004, 34.987297, 34.987297, 29.578829, 29.578829, 33.358895000000004"
44,21,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 11.897168, 11.767515, 11.767515, 11.161062, 11.161062, 10.284952, 11.161062, 10.372155, 11.030677, 9.868433, 9.868433, 9.547715, 9.547715, 9.060427, 9.547715, 8.986828, 9.868433, 9.849867, 9.849867, 8.504431, 8.504431, 9.525453, 9.525453, 11.062155, 11.767515, 11.307983, 11.767515, 11.303118","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.06433199999999, 54.06433199999999, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.06433199999999, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.75103299999999, 47.779406, 33.094306, 47.779406, 31.528783"
45,7,"2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998","89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493"
46,18,"6.399195, 6.8322660000000015, 6.8322660000000015, 7.690413, 5.985778, 6.629353, 6.629353, 7.604792, 7.285711, 7.821571, 7.821571, 8.125736999999999, 8.125736999999999, 8.059737, 8.059737, 9.133268, 9.133268, 9.511674, 9.511674, 10.245607, 10.245607, 9.947708, 9.947708, 9.284838, 9.284838, 8.375236, 8.375236, 7.946313000000001, 7.946313000000001, 7.285711, 8.059737, 8.668372999999999, 8.668372999999999, 8.726539, 8.726539, 8.842203999999997","-52.69566, -50.61456, -50.61456, -43.635334, -42.815135, -43.195934, -43.195934, -40.531267, -37.09747, -24.859786, -24.859786, -24.304324, -24.304324, -40.003148, -40.003148, -43.432589, -43.432589, -40.466769, -40.466769, -42.121942, -42.121942, -54.56779, -54.56779, -59.275229, -59.275229, -59.509483, -59.509483, -52.98236, -52.98236, -37.09747, -40.003148, -35.308352, -35.308352, -33.186384999999994, -33.186384999999994, -27.709844"
47,12,"11.764322, 12.311199, 12.311199, 12.694345, 12.694345, 13.419883, 13.419883, 14.214929, 14.214929, 14.266908, 14.266908, 14.717673, 13.419883, 13.578220000000002, 13.578220000000002, 14.027443, 14.027443, 14.770812, 13.578220000000002, 12.926725, 12.926725, 13.036278, 12.926725, 12.694345","6.529376, -0.787184, -0.787184, -1.449375, -1.449375, -11.161322, -11.161322, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -11.161322, -0.59582, -0.59582, 1.544532, 1.544532, 1.892885, -0.59582, 3.39747, 3.39747, 10.95915, 3.39747, -1.449375"
48,11,"15.827001999999998, 15.846935, 15.846935, 15.737798000000002, 15.737798000000002, 15.580041, 15.580041, 15.769793, 15.769793, 15.940882, 15.940882, 15.812327, 15.812327, 15.769793, 18.936995, 18.355167, 18.355167, 17.690243, 17.690243, 17.626445, 17.626445, 17.347128","-3.4302080000000004, 4.47773, 4.47773, 6.425627, 6.425627, 10.538867, 10.538867, 15.421826, 15.421826, 15.661617, 15.661617, 18.141564, 18.141564, 15.421826, 4.203595, -2.898825, -2.898825, -12.875307, -12.875307, -15.398557, -15.398557, -12.846875"
49,13,"15.849316, 16.121168, 16.121168, 16.002036, 16.002036, 15.849316, 16.002036, 15.585681, 15.585681, 15.356201, 15.356201, 15.36344, 15.356201, 14.975537, 15.585681, 15.634232, 15.634232, 15.20476, 15.20476, 14.698823, 15.20476, 14.631454000000002, 14.698823, 14.436336, 14.698823, 14.975537","-33.627165000000005, -36.755676, -36.755676, -38.396706, -38.396706, -33.627165000000005, -38.396706, -41.166757, -41.166757, -40.647518, -40.647518, -36.261376, -40.647518, -43.13396, -41.166757, -42.567348, -42.567348, -52.099247, -52.099247, -47.3882, -52.099247, -49.425828, -47.3882, -45.379276, -47.3882, -43.13396"
