star_ID,count,ra,dec,size,culture
76939,1,15.710645000000001,-37.424935,36,maya
62807,1,12.870071000000001,17.073943,36,korean
70400,1,14.403151000000001,5.820131,36,korean
68707,1,14.065488,4.9009730000000005,36,korean
17717,1,3.794347,-23.874677,36,chinese_medieval
31978,1,6.682961,9.895754,36,korean
26106,1,5.567747,-1.035726,36,boorong
29919,1,6.298563,61.515285999999996,36,chinese_medieval
28171,1,5.952385,10.229365,36,navajo
113503,1,22.986615,11.728844,36,chinese_medieval
83262,1,17.017667000000007,-4.222644,36,chinese_medieval
46371,1,9.455110000000001,-22.343783,36,korean
97757,1,19.866408,47.02733900000001,36,armintxe
30104,1,6.335018,-48.741093,36,boorong
9589,1,2.053236,0.12850699999999998,36,korean
107930,1,21.866954,55.796743000000006,36,tupi
83313,1,17.026767,33.56827,36,chinese_medieval
35699,1,7.3657949999999985,20.443658,36,chinese_medieval
30093,1,6.333222,-2.944493,36,northern_andes
21928,1,4.715089,43.365138,36,boorong
56997,1,11.684171000000001,34.201634999999996,36,chinese_medieval
113501,1,22.986209,52.65453,36,chinese_medieval
35987,1,7.416161,11.669524000000001,36,chinese_medieval
68763,1,14.074160999999998,-14.971708,36,chinese_medieval
52980,1,10.838349000000001,-8.897763000000003,36,chinese_medieval
75501,1,15.422285,-38.73362,36,chinese_medieval
10340,1,2.220369,44.231652000000004,36,korean
24294,1,5.213369,-6.05719,36,dakota
64557,1,13.232698000000001,-43.139107,36,chinese_medieval
91792,1,18.71726,-71.428113,36,western
80945,1,16.528269,-41.817145000000004,36,chinese_medieval
88404,1,18.051367000000006,-8.180349,36,northern_andes
79599,1,16.241357,-21.107636,36,korean
97783,1,19.870001000000002,-19.044991,36,chinese_medieval
1657,1,0.345978,32.911186,36,seleucid
91975,1,18.747204999999997,2.060038,36,korean
62732,1,12.854994,-60.329789,36,northern_andes
101936,1,20.656914,0.48644499999999996,36,korean
58642,1,12.024784,-57.503777,36,chinese_medieval
103512,1,20.971505,8.51535,36,egyptian
22263,1,4.793413,-16.934456,36,korean
115746,1,23.44999,87.30750400000002,36,chinese_medieval
56986,1,11.681567999999999,-62.090101000000004,36,chinese_medieval
6732,1,1.4449100000000001,19.240422,36,mulapin
38048,1,7.799089,-12.192705,36,chinese_medieval
42146,1,8.591166000000001,-7.982292,36,chinese_medieval
29860,1,6.287816,5.100112,36,northern_andes
93717,1,19.082687,-4.03142,36,northern_andes
71295,1,14.580758,-20.439381,36,chinese_medieval
101724,1,20.619673000000002,-1.311014,36,armintxe
40702,1,8.308703,-76.919722,36,western
15457,1,3.322693,3.3701980000000002,36,korean
89153,1,18.19537,-23.701235,36,chinese_medieval
11279,1,2.421119,56.609823,36,tukano
113996,1,23.086052,-7.693801,36,korean
58386,1,11.971927,32.330647,36,chinese_medieval
87072,1,17.792673999999995,-27.830788000000002,36,western
34033,1,7.0605759999999975,10.951817,36,chinese_medieval
108022,1,21.88438,25.92514,36,chinese_medieval
58082,1,11.911816,-25.713887,36,chinese_medieval
115833,1,23.466858,-35.54448499999999,36,chinese_medieval
20732,1,4.443437,14.713782,36,korean
16599,1,3.560855,54.97485699999999,36,tukano
14844,1,3.195229,81.47071,36,chinese_medieval
664,1,0.136693,-2.447711,36,korean
65420,1,13.409229999999999,-5.16401,36,korean
1465,1,0.304791,11.206214,36,chinese_medieval
46515,1,9.487423,-35.951335,36,chinese_medieval
38319,1,7.8506550000000015,33.233653000000004,36,boorong
105898,1,21.447668,48.835167999999996,36,armintxe
9586,1,2.052914,73.85056999999998,36,chinese_medieval
36211,1,7.457178,66.331571,36,chinese_medieval
15737,1,3.379234,20.742069,36,chinese_medieval
1402,1,0.292417,-19.051092,36,tukano
60816,1,12.465415,-8.677994,36,navajo
3455,1,0.7365,-10.60955,36,chinese_medieval
60059,1,12.316608,-55.143002,36,tupi
109199,1,22.120864,-22.240668,36,chinese_medieval
21763,1,4.674030999999999,-19.671492999999998,36,korean
37504,1,7.697004,-72.606098,36,western
117447,1,23.813937,62.214516,36,armintxe
103004,1,20.868801,27.096978999999997,36,korean
98526,1,20.016382999999998,8.557735000000001,36,boorong
70300,1,14.383956,-39.511819,36,chinese_medieval
4510,1,0.963931,28.992217,36,seleucid
2663,1,0.56217,-35.002078000000004,36,chinese_medieval
80181,1,16.368287,30.891996000000002,36,chinese_medieval
8814,1,1.888152,40.72979,36,seleucid
57646,1,11.820774,16.242882,36,chinese_medieval
61740,1,12.654102,-7.995564,36,navajo
60019,1,12.308922,-8.904421000000003,36,navajo
80569,1,16.450398999999994,-18.456251,36,chinese_medieval
55581,1,11.385596000000001,-56.779355,36,chinese_medieval
51839,1,10.591166000000001,-78.607786,36,western
74006,1,15.123873999999999,-49.088612,36,chinese_medieval
71040,1,14.528567,60.225636,36,chinese_medieval
72631,1,14.850298,-2.29915,36,romanian
58758,1,12.050447,-63.31293,36,chinese_medieval
105858,1,21.440704999999998,-65.366198,36,western
71115,1,14.542373999999999,22.260059,36,chinese_medieval
19799,1,4.243398,10.011406,36,korean
78661,1,16.058718,76.793939,36,korean
95564,1,19.438654,-21.776692999999998,36,arabic_moon_stations
15444,1,3.3187870000000004,50.094966,36,tukano
107901,1,21.861595,-18.62294,36,chinese_medieval
101756,1,20.623217,38.328665,36,armintxe
107797,1,21.836939,-16.844914000000006,36,chinese_medieval
70931,1,14.505823000000001,-49.519018,36,chinese_medieval
95503,1,19.424906,-23.962457,36,arabic_moon_stations
110000,1,22.280012,-12.831436,36,chinese_medieval
58858,1,12.071277,21.459153,36,chinese_medieval
25861,1,5.520703,3.292133,36,lokono
77060,1,15.734556,-15.672834,36,chinese_medieval
19740,1,4.232329,9.263824000000001,36,korean
9677,1,2.0748439999999997,-29.296819,36,chinese_medieval
60880,1,12.477265,26.226959,36,chinese_medieval
1366,1,0.28486300000000003,38.681636,36,navajo
114162,1,23.119459,52.816601,36,chinese_medieval
116118,1,23.528345,-21.369457,36,tukano
