num_pairs,star,name,ra,dec,culture,color
11,92041,Arcasul,18.760939999999998,-26.990778000000002,romanian,#972549
11,107119,HwaGae,21.698652,71.311417,korean,#2f8cae
11,77516,Al-Hayyah,15.827001999999998,-3.4302080000000004,arabic,#7d963a
11,71795,Al-'Awwa',14.685820000000001,13.7283,arabic,#7d963a
11,105138,Second Ibex,21.298632,34.896898,armintxe,#ef9f30
11,57632,Lion,11.817663,14.57206,egyptian,#91b6a8
11,74785,Zibanitu,15.283449,-9.382916999999999,seleucid,#fdd190
11,116584,Nimru,23.626056,46.458152,seleucid,#fdd190
11,91262,Neilloan,18.61564,38.783691999999995,boorong,#7eb9cb
11,118268,Shinunutu,23.988525,6.863321000000001,seleucid,#fdd190
11,8068,天大将军,1.727675,50.688732,chinese_medieval,#e36856
11,107128,Boat,21.700192,-23.262857999999998,egyptian,#91b6a8
11,35904,Zuzeca,7.401584,-29.303103999999998,dakota,#303258
11,5348,Phoenix,1.139742,-55.24576,western,#5bc4c7
11,77516,Serpens,15.827001999999998,-3.4302080000000004,western,#5bc4c7
11,32349,Ke Ka o Makali`i,6.7524809999999995,-16.716116,hawaiian_starlines,#1e8871
10,74857,Scorpia,15.297178,-30.148673,romanian,#972549
10,92855,Kaan,18.92109,-26.296721999999995,maya,#caaba9
10,57632,Al-A'sad,11.817663,14.57206,arabic,#7d963a
10,84012,CheonShi,17.172968,-15.724910000000001,korean,#2f8cae
10,107556,Tapul,21.784011,-16.127285999999998,romanian,#972549
10,3300,天厩,0.7010810000000001,50.512526,chinese_medieval,#e36856
10,3881,Al-Risha,0.830234,41.078911,arabic_moon_stations,#7d963a
10,60742,sissinnu Eru,12.448966,28.268423,mulapin,#f38b88
10,80816,Kalbu,16.503667999999998,21.489613000000002,mulapin,#f38b88
10,76297,JeokJol,15.585681,-41.166757000000004,korean,#2f8cae
10,31681,Tu'amu rabutu,6.628528,16.399252,seleucid,#fdd190
10,89826,Crocodile,18.331031,36.064547,egyptian,#91b6a8
10,78820,Prow,16.09062,-19.805453,egyptian,#91b6a8
10,72622,Selkis,14.847976999999998,-16.041778,egyptian,#91b6a8
10,80816,Kalbu,16.503667999999998,21.489613000000002,seleucid,#fdd190
10,57632,Leo,11.817663,14.57206,western,#5bc4c7
10,80816,CheonShi,16.503667999999998,21.489613000000002,korean,#2f8cae
10,101076,CheonGu,20.489926,30.368554999999997,korean,#2f8cae
10,60742,sissinnu Eru,12.448966,28.268423,seleucid,#fdd190
10,97067,天渊,19.727116,-37.53876500000001,chinese_medieval,#e36856
10,38170,弧矢,7.8215710000000005,-24.859786,chinese_medieval,#e36856
10,17448,Hamil Ra's Al-Ghul,3.7386480000000004,32.288247999999996,arabic,#7d963a
10,80816,天市右垣,16.503667999999998,21.489613000000002,chinese_medieval,#e36856
10,39953,Vela,8.158876,-47.336588,western,#5bc4c7
10,17448,Perseus,3.7386480000000004,32.288247999999996,western,#5bc4c7
10,67459,Marpeankurrk,13.824623,15.797904999999998,boorong,#7eb9cb
10,17664,Lamankurrk,3.7831660000000014,24.520124,boorong,#7eb9cb
10,84379,天市左垣,17.250531,24.839204000000002,chinese_medieval,#e36856
10,37279,Biboonkeonini,7.655033,5.224993,ojibwe,#877b93
10,17448,Su Corru 'e Chervu,3.7386480000000004,32.288247999999996,sardinian,#d3bc93
10,110391,天钱,22.35988,-21.598229999999997,chinese_medieval,#e36856
9,21421,Alu,4.5986769999999995,16.509301,mulapin,#f38b88
9,677,Ka Lupe o Kawelo,0.139791,29.090432,hawaiian_starlines,#1e8871
9,57632,Ka`ohiweliweli,11.817663,14.57206,hawaiian_starlines,#1e8871
9,87585,Wakinyan,17.892134,56.872643000000004,dakota,#303258
9,104732,CheonJin,21.215607000000002,30.226915999999996,korean,#2f8cae
9,94779,Ad-Dajajah,19.28504,53.368458999999994,arabic,#7d963a
